엘에이티,r311060
대원모방,r311840
에어부산,r298690
비피도,r238200
지놈앤컴퍼니,r314130
키움제5호스팩,r311270
엔에이치스팩13호,r310840
유틸렉스,r263050
디케이티,r290550
미래에셋대우스팩2호,r310200
신영스팩4호,r307180
테크엔,r308700
삼성머스트스팩3호,r309930
위지윅스튜디오,r299900
한국제8호스팩,r310870
대신밸런스제6호스팩,r307750
에이비엘바이오,r298380
프로테옴텍,r303360
머큐리,r100590
전진바이오팜,r110020
뉴트리,r270870
골든브릿지이안5호,r307870
이노메트리,r302430
SK4호스팩,r307070
대유에이피,r290120
교보8호스팩,r307280
에코캡,r128540
베스파,r299910
비엔에프코퍼레이션,r271780
윙입푸드,r900340
하나머스트제6호스팩,r307160
남화산업,r111710
엠아이텍,r179290
티로보틱스,r117730
네오펙트,r290660
에이펙스인텍,r207490
티앤알바이오팹,r246710
나라소프트,r288490
아시아나IDT,r267850
디알젬,r263690
싸이토젠,r217330
아주IB투자,r027360
파멥신,r208340
디케이앤디,r263020
아이엘사이언스,r122050
디자인,r227100
노바렉스,r194700
셀리버리,r268600
대보마그네틱,r290670
노바텍,r285490
엘앤씨바이오,r290650
DB금융스팩6호,r306620
로보티즈,r108490
옵티팜,r153710
에스퓨얼셀,r288620
세아제강,r306200
나우아이비캐피탈,r293580
푸드나무,r290720
하나제약,r293480
크리스에프앤씨,r110790
IBKS제10호스팩,r299170
지티지웰니스,r219750
우진아이엔에스,r010400
명성티엔에스,r257370
삼성스팩2호,r291230
엔솔바이오사이언스,r140610
디지캡,r197140
대신밸런스제5호스팩,r303030
액트로,r290740
오파스넷,r173130
에이피티씨,r089970
바이오솔루션,r086820
리메드,r302550
더콘텐츠온,r302920
대유,r290380
엔케이맥스,r262760
신한알파리츠,r293940
디아이티,r110990
에스에스알,r275630
한일시멘트,r300720
휴네시온,r290270
티웨이항공,r091810
롯데정보통신,r286940
한국유니온제약,r080720
엠코르셋,r204020
IBKS제9호스팩,r297570
올릭스,r226950
테크트랜스,r258050
효성중공업,r298040
효성첨단소재,r298050
효성티앤씨,r298020
효성화학,r298000
아이큐어,r175250
SV인베스트먼트,r289080
엘리비젼,r276240
지앤이헬스케어,r299480
이리츠코크렙,r088260
EDGC,r245620
에스엠비나,r299670
HDC현대산업개발,r294870
하나금융11호스팩,r284620
파워넷,r037030
현대사료,r016790
세종메디칼,r258830
제노레이,r122310
디피코,r163430
한국제7호스팩,r291210
다이노나,r086080
유안타제3호스팩,r287410
에스제이켐,r217910
JTC,r950170
대신밸런스제3호스팩,r253590
위세아이텍,r065370
케어랩스,r263700
애경산업,r018250
에코마이스터,r064510
린드먼아시아,r277070
오스테오닉,r226400
엔지켐생명과학,r183490
동구바이오제약,r006620
아시아종묘,r154030
알리코제약,r260660
셀트리온,r068270
카페24,r042000
링크제니시스,r219420
배럴,r267790
SG,r255220
씨앤지하이테크,r264660
쿠쿠홈시스,r284740
SK케미칼,r285130
시스웍,r269620
TS트릴리온,r284610
라이프사이언스테크놀로지,r285770
한국제6호스팩,r281410
디바이스이엔지,r187870
바이오시네틱스,r281310
씨알푸드,r236030
동부스팩5호,r281740
휴럼,r284420
BGF리테일,r282330
동양피스톤,r092780
진에어,r272450
씨티케이코스메틱스,r260930
메카로,r241770
에스트래픽,r234300
케이씨텍,r281820
체리부로,r066360
대원,r007680
비즈니스온,r138580
동아타이어,r282690
삼양패키징,r272550
한화에이스스팩4호,r279410
스튜디오드래곤,r253450
IBKS제7호스팩,r276920
미디어젠,r279600
비디아이,r148140
코오롱티슈진,r950160
테이팩스,r055490
파인이엠텍,r278990
롯데제과,r280360
티에스아이,r277880
탑선,r180060
영화테크,r265560
세원,r234100
신한제4호스팩,r277480
상신전자,r263810
야스,r255440
인산가,r277410
에스엔피월드,r263920
신흥에스이씨,r243840
유티아이,r179900
선익시스템,r171090
엠플러스,r259630
앱클론,r174900
샘코,r263540
펄어비스,r263750
두원석재,r270020
케이피에스,r256940
시그넷이브이,r260870
덕우전자,r263600
명진홀딩스,r267060
이더블유케이,r258610
하나금융10호스팩,r270520
포인트엔지니어링,r176560
알에스오토메이션,r140670
컬러레이,r900310
엔에이치스팩12호,r273060
모트렉스,r118990
데이타솔루션,r263800
지니언스,r263860
디앤씨미디어,r263720
셀트리온헬스케어,r091990
이즈미디어,r181340
루켄테크놀러지스,r162120
에브리봇,r270660
한국제5호스팩,r271740
힘스,r238490
제일약품,r271980
브이원텍,r251630
아우딘퓨쳐스,r227610
이녹스첨단소재,r272290
카카오,r035720
알로이스,r271400
오리온,r271560
하림지주,r003380
주노콜렉션,r221670
메디안디노스틱,r233250
하나금융9호스팩,r261200
교보7호스팩,r267320
다이오진,r271850
에스알바이오텍,r270210
앤유엔터테인먼트,r266170
보라티알,r250000
한화수성스팩,r265920
매일유업,r267980
삼양옵틱스,r225190
IBKS제6호스팩,r264850
필옵틱스,r161580
미래에셋대우스팩1호,r265480
SGA임베디드,r224880
미원에스씨,r268280
경동도시가스,r267290
넷마블,r251270
오렌지라이프,r079440
현대건설기계,r267270
현대일렉트릭,r267260
현대중공업지주,r267250
엔에이치스팩10호,r256630
한화에이스스팩3호,r264290
앙츠,r267810
하나머티리얼즈,r166090
와이엠티,r251370
케이비제11호스팩,r258790
엠앤씨생명과학,r225860
파워풀엑스,r266870
크라운제과,r264900
AP시스템,r265520
유에스티,r263770
이엘피,r063760
유비쿼스,r264450
서진시스템,r178320
코미코,r183300
아스타,r246720
덴티움,r145720
대신밸런스제4호스팩,r262830
에스디생명공학,r217480
신신제약,r002800
